Year,Armenia,Azerbaijan,Georgia
2002,162000,576000,298000
2003,206000,768000,313000
2004,263000,989000,368000
2005,319000,693000,560000
2006,382000,682000,983000
2007,511000,732000,1052000
2008,558000,1043000,1290000
2009,575000,1005000,1500000
2010,684000,1280000,2032000
2011,758000,1562000,2712000
2012,963000,1986000,4106000
2013,1084000,2130000,4954000
2014,1204000,2160000,5004000
2015,1192000,1922000,5256000
2016,1260000,2044000,5393000
2017,1495000,2454000,6483000
